time,axes[0],axes[1],axes[2],axes[3],axes[4],axes[5],buttons[0],buttons[1],buttons[2],buttons[3],buttons[4],buttons[5],buttons[6],buttons[7],buttons[8],buttons[9],buttons[10],buttons[11],buttons[12]
14.875,0.165354,-0.440945,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.8949,0.173228,-0.433071,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.9149,0.181102,-0.425197,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.9348,0.181102,-0.401575,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.9547,0.181102,-0.377953,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.9748,0.181102,-0.354331,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.9952,0.173228,-0.322835,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0152,0.165354,-0.299213,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0348,0.15748,-0.275591,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0546,0.149606,-0.244094,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0756,0.141732,-0.220472,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0956,0.125984,-0.19685,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.1156,0.110236,-0.173228,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.1356,0.0944882,-0.149606,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.156,0.0787402,-0.125984,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.1759,0.0708661,-0.102362,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.1955,0.0551181,-0.0787402,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.2158,0.0393701,-0.0551181,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.2354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.2555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.2751,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.2953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3553,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.4151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.4352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5359,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5759,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.6159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.6359,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.6559,0,0,-0.0708661,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.6758,0,0,-0.110236,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.6957,0,0,-0.141732,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.7157,0,0,-0.19685,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.7361,0,0,-0.228346,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.7558,0,0,-0.267717,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.7758,0,0,-0.330709,-0.125984,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.7956,0,0,-0.362205,-0.181102,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.8155,0,0,-0.393701,-0.23622,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.8355,0,0,-0.472441,-0.346457,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.8557,0,0,-0.496063,-0.393701,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.8755,0,0,-0.511811,-0.440945,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.8959,0,0,-0.535433,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.9157,0,0,-0.535433,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.9363,0,0,-0.543307,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.9563,0,0,-0.559055,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.9762,0,0,-0.574803,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.9963,0,0,-0.590551,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.0162,0,0,-0.614173,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.0363,0,0,-0.622047,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.0563,0,0,-0.629921,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.0769,0,0,-0.645669,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.0967,0,0,-0.645669,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.1162,0,0,-0.645669,-0.472441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.1366,0,0,-0.645669,-0.464567,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.1563,0,0,-0.645669,-0.456693,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.1761,0,0,-0.645669,-0.456693,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.1962,0,0,-0.653543,-0.456693,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.216,0,0,-0.653543,-0.456693,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.2361,0,0,-0.653543,-0.456693,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.256,0,0,-0.637795,-0.385827,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.276,0,0,-0.574803,-0.259843,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.2961,0,0,-0.480315,-0.11811,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.316,0,0,-0.0787402,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.3768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.3968,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4566,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4766,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4967,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5371,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5566,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5767,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5965,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6965,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7564,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7964,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.8172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.8373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.8572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.8772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.8977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.9176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.9373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.9571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.9771,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.9972,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1973,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3177,0,0,-0.0866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3376,0,0,-0.267717,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3576,0,0,-0.330709,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3775,0,0,-0.385827,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3975,0,0,-0.480315,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4175,0,0,-0.559055,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4375,0,0,-0.637795,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4574,0,0,-0.716535,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4775,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4977,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5175,0,0,-0.732283,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5374,0,0,-0.732283,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5573,0,0,-0.732283,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5773,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5972,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.6171,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.6381,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.658,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.678,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.6982,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.718,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.7379,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.7579,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.7778,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.798,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8178,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8379,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8579,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8778,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8979,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9178,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9377,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9577,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9785,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9977,0,0,-0.708661,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0177,0,0,-0.629921,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0376,0,0,-0.511811,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0576,0,0,-0.149606,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0776,0,0,-0.0551181,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1184,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1585,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1783,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2583,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3582,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3982,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4779,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4981,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.539,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5588,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5788,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5989,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6589,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7786,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8785,0,0,0.0472441,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8984,0,0,0.141732,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9185,0,0,0.173228,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9393,0,0,0.19685,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9593,0,0,0.220472,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9794,0,0,0.23622,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9992,0,0,0.259843,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0193,0,0,0.307087,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0393,0,0,0.322835,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0592,0,0,0.338583,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0791,0,0,0.401575,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0996,0,0,0.448819,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.1192,0,0,0.503937,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.1391,0,0,0.606299,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.1591,0,0,0.669291,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.179,0,0,0.732283,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.1991,0,0,0.80315,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.2189,0,0,0.811024,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.239,0,0,0.818898,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.2589,0,0,0.818898,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.2789,0,0,0.818898,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.2989,0,0,0.818898,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.3188,0,0,0.834646,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.3388,0,0,0.84252,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.3598,0,0,0.858268,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.3798,0,0,0.858268,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.4001,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.42,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.4396,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.4597,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.4797,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.4996,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.5197,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.5394,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.5596,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.5796,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.5995,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.6195,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.6398,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.6598,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.6793,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.6993,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.7194,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.7392,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.7593,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.7791,0,0,0.866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
